date,steps,caloriesburned,caloriesconsumed,minutesofsleep
2015-11-02,7368,2590,777,405
2015-11-03,6269,2403,37,276
2015-11-04,8520,2917,1294,0
2015-11-05,8116,2851,1258,155
2015-11-06,8268,2820,1218,383
2015-11-07,14489,3690,2285,319
2015-11-08,9212,3067,1510,0
2015-11-09,9500,2828,1225,0
2015-11-10,11151,3336,1799,345
2015-11-11,12351,2867,1353,383
2015-11-12,10670,2847,1228,391
2015-11-13,5574,2460,778,231
2015-11-14,11587,3445,1953,526
2015-11-15,9499,2853,1219,369
2015-11-16,13788,3590,1990,291
2015-11-17,18361,3792,2462,143
2015-11-18,14055,3222,1771,503
2015-11-19,11927,3092,1650,0
2015-11-20,15221,3395,2004,524
2015-11-21,8568,2802,1209,269
2015-11-22,3284,2177,477,0
2015-11-23,9408,3035,1552,378
2015-11-24,10261,2843,1262,424
2015-11-25,8218,2829,1177,353
2015-11-26,9760,3076,1502,444
2015-11-27,10769,3242,1711,0
2015-11-28,11671,3254,1776,0
2015-11-29,14444,3247,1821,244
2015-11-30,23313,4012,2743,0
2015-12-01,16810,3232,1618,69
2015-12-02,10745,3125,1559,0
2015-12-03,10784,3165,1600,325
2015-12-04,10740,2835,1271,404
2015-12-05,8531,2872,1354,328
2015-12-06,12738,3072,1579,352
2015-12-07,13520,3107,1603,275
2015-12-08,15884,3801,2393,398
2015-12-09,10026,3062,1449,271
2015-12-10,11868,3044,1411,0
2015-12-11,12381,3082,1503,268
2015-12-12,7157,2766,1216,196
2015-12-13,7055,2787,1182,232
2015-12-14,9348,2831,1229,0
2015-12-15,8566,2711,1038,318
2015-12-16,9786,2714,1110,0
2015-12-17,8371,2709,1050,0
2015-12-18,9428,2917,1331,464
2015-12-19,13742,3110,1734,279
2015-12-20,15636,3391,1973,321
2015-12-21,12778,3145,1678,242
2015-12-22,7378,2636,1044,102
2015-12-23,0,1789,0,161
2015-12-24,6452,2573,962,0
2015-12-25,7837,2808,1311,440
2015-12-26,6504,2626,1089,339
2015-12-27,6444,2604,1030,388
2015-12-28,7845,2845,1359,419
2015-12-29,12260,3135,1718,0
2015-12-30,12154,3050,1567,0
2015-12-31,7801,2856,1394,308
2016-01-01,10460,2992,1558,488
2016-01-02,13837,3265,1841,326
2016-01-03,12517,3090,1566,207
2016-01-04,10366,3116,1590,242
2016-01-05,12127,3241,1760,448
2016-01-06,11327,2992,1530,541
2016-01-07,11098,3146,1630,278
2016-01-08,12395,3174,1812,316
2016-01-09,6643,2615,1093,0
2016-01-10,8846,2711,1197,380
2016-01-11,9642,3013,1472,297
2016-01-12,9982,2993,1387,354
2016-01-13,6613,2627,1020,336
2016-01-14,12161,3128,1560,306
2016-01-15,14837,3361,1917,396
2016-01-16,16759,3379,1977,0
2016-01-17,9602,2878,1314,327
2016-01-18,3761,2144,467,254
2016-01-19,7456,2543,881,423
2016-01-20,16755,3472,2073,345
2016-01-21,11937,3218,1729,391
2016-01-22,14577,3426,2110,400
2016-01-23,17541,3615,2286,434
2016-01-24,39,1801,16,325
2016-01-25,6610,2420,756,0
2016-01-26,13073,3066,1521,468
2016-01-27,9997,2886,1291,336
2016-01-28,10707,3092,1592,458
2016-01-29,9952,2931,1400,339
2016-01-30,9774,3034,1641,342
2016-01-31,6260,2787,1277,0
2016-02-01,11426,2986,1478,357
2016-02-02,10466,2974,1333,328
2016-02-03,12866,3199,1703,385
2016-02-04,2449,2037,337,248
2016-02-05,10434,3110,1544,410
2016-02-06,10434,3110,1544,424
2016-02-07,12578,3177,1784,401
2016-02-08,15373,3182,1729,350
2016-02-09,12327,3206,1680,316
2016-02-10,10457,2872,1252,376
2016-02-11,9900,2662,1098,342
2016-02-12,8966,2899,1299,0
2016-02-13,8353,2816,1187,333
2016-02-14,13907,3235,1813,322
2016-02-15,14183,3289,1941,448
2016-02-16,8453,2751,589,264
2016-02-17,7995,2927,1347,0
2016-02-18,6707,2783,1131,305
2016-02-19,8109,2804,1146,309
2016-02-20,11971,2815,1234,0
2016-02-21,11371,2960,1533,317
2016-02-22,2190,2038,351,383
2016-02-23,6592,2594,958,347
2016-02-24,8624,2841,1220,0
2016-02-25,8307,2933,1305,243
2016-02-26,7941,2816,1184,437
2016-02-27,8050,2764,1150,382
2016-02-28,9923,3029,1306,0
2016-02-29,9504,2844,1322,0
2016-03-01,6847,2612,1023,262
2016-03-02,11618,3117,1584,166
2016-03-03,10450,2897,1292,420
2016-03-04,11478,2864,1219,327
2016-03-05,10650,2996,1420,420
2016-03-06,3103,2228,572,157
2016-03-07,6960,2660,1103,302
2016-03-08,16699,3220,1664,0
2016-03-09,14068,3083,1469,348
2016-03-10,18092,3339,1833,267
2016-03-11,18530,3307,1766,0
2016-03-12,14587,3135,1726,334
2016-03-13,9992,2840,1438,0
2016-03-14,0,1790,0,275
2016-03-15,9336,2538,850,0
2016-03-16,15596,3133,1557,0
2016-03-17,25385,3960,2556,356
2016-03-18,14577,3150,1553,368
2016-03-19,16667,3214,1647,388
2016-03-20,13361,3870,2548,223
2016-03-21,6754,2731,1237,435
2016-03-22,5424,2464,859,383
2016-03-23,17913,3555,2243,224
2016-03-24,14324,3063,1542,274
2016-03-25,8049,2503,817,391
2016-03-26,11122,3052,1646,254
2016-03-27,9570,3021,1587,204
2016-03-28,4667,2223,588,64
2016-03-29,0,1790,0,457
2016-03-30,9781,2648,1009,0
2016-03-31,21383,3768,2417,0
2016-04-01,20109,3512,2107,321
2016-04-02,11130,2814,1176,319
2016-04-03,8250,2884,1335,337
2016-04-04,8682,2931,1437,78
2016-04-05,17535,3314,1731,315
2016-04-06,20154,3830,2580,184
2016-04-07,23286,4112,2850,425
2016-04-08,13004,3048,1472,267
2016-04-09,13441,3241,1874,359
2016-04-10,10216,3038,1607,379
2016-04-11,5634,2304,659,507
2016-04-12,17422,3419,1928,306
2016-04-13,14475,3179,1696,407
2016-04-14,17777,3427,1967,354
2016-04-15,19087,3479,1954,365
2016-04-16,16290,3501,2166,278
2016-04-17,14252,3342,1947,396
2016-04-18,8262,2769,1266,404
2016-04-19,19450,3486,1926,0
2016-04-20,17232,3596,2085,307
2016-04-21,16946,3321,1795,0
2016-04-22,19183,3464,1964,411
2016-04-23,12963,3328,2020,341
2016-04-24,6456,2612,1135,430
2016-04-25,10413,2863,1411,305
2016-04-26,10499,3175,1805,375
2016-04-27,17226,3357,1798,237
2016-04-28,19784,3631,2070,360
2016-04-29,25571,4030,2711,361
2016-04-30,17528,3442,1931,374
2016-05-01,9831,3061,1651,348
2016-05-02,14262,3331,1937,454
2016-05-03,13236,2989,1477,347
2016-05-04,18588,3796,2360,314
2016-05-05,16382,3525,2075,377
2016-05-06,21913,3649,2249,406
2016-05-07,19023,3539,2112,280
2016-05-08,9526,3040,1604,370
